Cluster,region,technology,Resource,Zone,EndCap,EndEnergyCap,EndChargeCap,NewCap,RetCap,NewEnergyCap,RetEnergyCap,NewChargeCap,RetChargeCap,iter,CPA_ID,lcoe,Area,latitude,longitude,interconnect_annuity,state,m_landcover,m_primeFarmland,exFacil,plFacil,m_HMI,m_popden,cpa_mw
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,395263,31.588146,11.6735541748,42.338227914455125,-73.50094822503252,6476.2773,New York,43,0.0,0,0,0.533280807463,4.84090909091,105.06199
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,394878,31.595469,10.8733906269,42.84183045419263,-74.28885892511549,6299.39,New York,43,1.0,0,0,0.51978928799,2.88636363636,97.86052
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,394898,31.8817,16.0000001464,42.893870674395856,-74.37445177012168,6644.485,New York,81,0.0,0,0,0.584323805757,4.96875,144.0
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,391091,32.439766,18.3088382578,43.15110625429622,-73.94138443532073,8131.7896,New York,41,0.0,0,0,0.259114897677,2.37662337662,164.77954
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,391096,32.68594,10.4672067494,43.2054401013732,-74.02581768555551,9061.137,New York,41,1.0,0,0,0.175905097276,0.380952380952,94.204865
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,391095,32.758125,10.1580428654,43.20864848862352,-74.06324526058381,9223.347,New York,41,0.0,0,0,0.237748832204,2.13953488372,91.422386
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,392053,32.89391,8.90644528067,43.10112956660323,-74.50498427275066,9286.803,New York,41,1.0,0,0,0.266221754444,4.38461538462,80.158005
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,392012,32.961067,14.9081394467,43.03858397489948,-74.58208578868503,9393.979,New York,41,1.0,0,0,0.337300642062,3.8813559322,134.17325
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,391107,32.992783,7.6545863455,43.21928179918081,-73.90407536853583,9433.504,New York,41,0.0,0,0,0.274094132241,0.0625,68.89127
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,391033,30.517508,15.1495323458,42.91456088147984,-74.0638834557106,3921.7744,New York,43,1.0,0,0,0.53744363256,8.03225806452,68.1729
